gene_id	Mac96h_R1
ENSG00000000419.9	16.67124988
ENSG00000000457.10	3.204261405
ENSG00000000460.13	1.329493491
ENSG00000000938.9	128.3163254
ENSG00000001036.10	10.62621408
ENSG00000001084.7	144.263847
ENSG00000001167.11	9.720721909
ENSG00000001460.14	0.27028198
ENSG00000001461.13	4.238680021
ENSG00000001497.13	3.682058221
ENSG00000001617.8	0.363586861
ENSG00000001629.6	11.18946394
ENSG00000001630.12	7.761924798
ENSG00000001631.11	18.96433247
ENSG00000002016.13	5.691252087
ENSG00000002330.10	5.712692662
ENSG00000002549.9	23.08770177
ENSG00000002726.16	5.933405448
ENSG00000002822.12	9.012425958
ENSG00000002834.14	207.9790778
ENSG00000002919.11	7.136043765
ENSG00000002933.4	0.013110446
ENSG00000003056.4	193.7004854
ENSG00000003096.10	0.009084552
ENSG00000003147.14	7.204124122
ENSG00000003249.10	0.115850453
ENSG00000003393.11	6.568567958
ENSG00000003400.11	2.205071151
ENSG00000003402.16	32.24247924
ENSG00000003436.11	0.378899171
ENSG00000003509.12	3.717117022
ENSG00000003756.13	37.29009994
ENSG00000003987.10	0.024960628
ENSG00000003989.13	3.203792766
ENSG00000004059.7	31.25981264
ENSG00000004142.8	27.46920964
ENSG00000004399.9	74.88691776
ENSG00000004455.13	19.99152193
ENSG00000004468.9	0.328449688
ENSG00000004478.6	11.04601994
ENSG00000004487.12	9.558929445
ENSG00000004534.11	9.503605795
ENSG00000004660.11	2.700865362
ENSG00000004700.12	5.510662758
ENSG00000004766.12	1.938599022
ENSG00000004777.15	1.093690253
ENSG00000004779.6	12.60643196
ENSG00000004799.7	0.002295269
ENSG00000004809.10	1.707806625
ENSG00000004864.10	4.431096594
ENSG00000004866.15	3.19683268
ENSG00000004897.8	13.38019466
ENSG00000004961.11	5.183762628
ENSG00000004975.8	14.71752982
ENSG00000005007.9	18.14385498
ENSG00000005020.9	40.83633628
ENSG00000005022.5	126.4376328
ENSG00000005075.12	14.91083915
ENSG00000005100.9	2.661503786
ENSG00000005156.8	5.11369515
ENSG00000005175.6	6.210310614
ENSG00000005187.8	0.101336398
ENSG00000005189.16	0.664482893
ENSG00000005194.11	8.131537419
ENSG00000005206.13	5.20995748
ENSG00000005238.16	15.24990108
ENSG00000005243.6	0.026814997
ENSG00000005302.14	39.03585776
ENSG00000005339.9	25.38643257
ENSG00000005379.12	6.13339447
ENSG00000005381.7	0.635405788
ENSG00000005436.10	0.521403375
ENSG00000005448.13	6.687919266
ENSG00000005483.16	30.8693322
ENSG00000005486.13	19.08431063
ENSG00000005700.11	12.3434213
ENSG00000005801.13	10.36448072
ENSG00000005810.14	19.81137438
ENSG00000005812.7	12.9878556
ENSG00000005844.14	70.53554303
ENSG00000005882.8	7.283634388
ENSG00000005884.14	60.64223337
ENSG00000005889.12	3.3998089
ENSG00000005893.12	28.46526077
ENSG00000005961.14	0.8014361
ENSG00000006007.8	20.13494637
ENSG00000006015.14	5.201073702
ENSG00000006016.7	0.682950598
ENSG00000006025.8	18.17228896
ENSG00000006062.10	5.405950969
ENSG00000006118.11	10.92315856
ENSG00000006125.13	16.61570162
ENSG00000006194.7	8.343073896
ENSG00000006210.6	2.609544982
ENSG00000006282.16	8.902523487
ENSG00000006327.10	10.88149027
ENSG00000006451.4	10.82670972
ENSG00000006453.10	0.009334459
ENSG00000006459.7	5.367824862
ENSG00000006468.10	3.080604153
ENSG00000006530.12	1.206522416
ENSG00000006534.12	6.662267399
ENSG00000006576.13	1.694968697
ENSG00000006607.10	1.408618782
ENSG00000006625.14	13.34701623
ENSG00000006634.4	2.164745404
ENSG00000006652.10	28.64726684
ENSG00000006695.7	4.31804494
ENSG00000006704.7	5.446343319
ENSG00000006712.11	11.45632607
ENSG00000006715.12	20.17886164
ENSG00000006740.13	5.190764823
ENSG00000006744.15	19.5914989
ENSG00000006747.11	0.161698051
ENSG00000006756.12	1.719412082
ENSG00000006757.8	12.43710884
ENSG00000006831.9	14.76531421
ENSG00000006837.8	1.059726529
ENSG00000007047.11	7.027958824
ENSG00000007080.7	9.784015465
ENSG00000007168.9	16.96506424
ENSG00000007202.11	75.69347719
ENSG00000007237.15	18.70598937
ENSG00000007255.7	9.506669485
ENSG00000007264.10	31.07467689
ENSG00000007341.15	8.532416945
ENSG00000007350.13	0.003594663
ENSG00000007372.17	0.012877697
ENSG00000007376.4	7.979796164
ENSG00000007384.12	7.518202201
ENSG00000007392.13	16.70831844
ENSG00000007516.10	1.995945482
ENSG00000007520.3	2.816582246
ENSG00000007541.11	5.511307417
ENSG00000007545.12	6.082844759
ENSG00000007866.15	4.722248209
ENSG00000007923.12	17.69488803
ENSG00000007944.11	1.714336589
ENSG00000007968.6	0.094759268
ENSG00000008018.8	40.42714761
ENSG00000008056.9	1.055357154
ENSG00000008083.10	28.28818139
ENSG00000008128.19	6.8917287
ENSG00000008130.12	49.11818349
ENSG00000008256.12	5.820153299
ENSG00000008282.4	7.525818869
ENSG00000008283.12	0.935068446
ENSG00000008294.17	32.05066679
ENSG00000008300.11	0.364934205
ENSG00000008324.7	3.744885462
ENSG00000008382.12	0.843606778
ENSG00000008394.9	310.2786035
ENSG00000008405.8	1.234501549
ENSG00000008438.4	0.17374735
ENSG00000008441.13	1.148215298
ENSG00000008513.11	10.13651481
ENSG00000008516.13	0.04084763
ENSG00000008517.13	0.001619941
ENSG00000008710.14	5.819356878
ENSG00000008838.14	57.39606234
ENSG00000008853.13	26.57922329
ENSG00000008869.8	5.975903056
ENSG00000008952.13	22.84093994
ENSG00000008988.6	179.8771578
ENSG00000009307.12	167.9845637
ENSG00000009335.14	7.686596474
ENSG00000009413.12	1.185163326
ENSG00000009780.12	1.674817269
ENSG00000009790.11	2.847456877
ENSG00000009830.8	4.420067915
ENSG00000009844.12	13.22877455
ENSG00000009950.12	62.4493943
ENSG00000009954.7	22.27454591
ENSG00000010017.10	27.65668636
ENSG00000010072.12	1.508289446
ENSG00000010165.16	7.987869222
ENSG00000010219.10	11.80786964
ENSG00000010244.13	89.5126075
