gene_id	Mon96h_R3
ENSG00000000419.9	27.20340175
ENSG00000000457.10	1.542098592
ENSG00000000460.13	1.181343041
ENSG00000000938.9	43.98663053
ENSG00000001036.10	23.56208412
ENSG00000001084.7	13.06591903
ENSG00000001167.11	4.637136193
ENSG00000001460.14	0.749638534
ENSG00000001461.13	3.545442919
ENSG00000001497.13	11.33546057
ENSG00000001617.8	0.583373767
ENSG00000001629.6	4.918428913
ENSG00000001630.12	4.173394674
ENSG00000001631.11	19.05698946
ENSG00000002016.13	6.414885743
ENSG00000002330.10	6.690974243
ENSG00000002549.9	6.528692663
ENSG00000002726.16	5.789689593
ENSG00000002822.12	19.47473039
ENSG00000002834.14	59.51250257
ENSG00000002919.11	11.40674133
ENSG00000002933.4	0.177365974
ENSG00000003056.4	152.6015802
ENSG00000003096.10	1.411890972
ENSG00000003147.14	1.664887256
ENSG00000003249.10	0.01489118
ENSG00000003393.11	13.77417915
ENSG00000003400.11	2.279541417
ENSG00000003402.16	36.73991928
ENSG00000003436.11	0.351278628
ENSG00000003509.12	8.420164155
ENSG00000003756.13	58.95108846
ENSG00000003987.10	0.501843427
ENSG00000003989.13	1.034014109
ENSG00000004059.7	33.16754053
ENSG00000004142.8	20.37161052
ENSG00000004399.9	50.80527312
ENSG00000004455.13	45.51852736
ENSG00000004468.9	3.515972426
ENSG00000004478.6	12.83521335
ENSG00000004487.12	13.84739645
ENSG00000004534.11	22.05808579
ENSG00000004660.11	0.883226616
ENSG00000004700.12	7.187586683
ENSG00000004766.12	3.816638845
ENSG00000004777.15	3.469953106
ENSG00000004779.6	43.37398269
ENSG00000004799.7	0.101190664
ENSG00000004809.10	6.04375581
ENSG00000004864.10	12.28806217
ENSG00000004866.15	1.484822567
ENSG00000004897.8	10.40733815
ENSG00000004961.11	3.254656429
ENSG00000004975.8	6.195407615
ENSG00000005007.9	14.92632498
ENSG00000005020.9	22.43476539
ENSG00000005022.5	112.058446
ENSG00000005075.12	15.11984291
ENSG00000005100.9	2.491648203
