gene_id	Neu96h_R1
ENSG00000000419.9	24.46828858
ENSG00000000457.10	2.229436381
ENSG00000000460.13	0.680674005
ENSG00000000938.9	99.47457148
ENSG00000001036.10	19.80492113
ENSG00000001084.7	19.18052304
ENSG00000001167.11	6.67478769
ENSG00000001460.14	0.40093748
ENSG00000001461.13	4.604601719
ENSG00000001497.13	7.366471611
ENSG00000001617.8	0.577130646
ENSG00000001629.6	8.252222354
ENSG00000001630.12	1.768586025
ENSG00000001631.11	16.91347007
ENSG00000002016.13	9.110941442
ENSG00000002330.10	7.649773452
ENSG00000002549.9	5.204463969
ENSG00000002726.16	1.372567922
ENSG00000002822.12	8.770797468
ENSG00000002834.14	44.28130856
ENSG00000002919.11	14.36258398
ENSG00000002933.4	0.352101133
ENSG00000003056.4	131.5612565
ENSG00000003096.10	0.16642387
ENSG00000003147.14	2.567145307
ENSG00000003249.10	0.564249229
ENSG00000003393.11	6.274152379
ENSG00000003400.11	4.176634199
ENSG00000003402.16	34.58380345
ENSG00000003436.11	0.001120961
ENSG00000003509.12	8.432688031
ENSG00000003756.13	91.32820116
ENSG00000003987.10	0.025042671
ENSG00000003989.13	0.009805426
ENSG00000004059.7	41.33936687
ENSG00000004142.8	12.83476019
ENSG00000004399.9	8.109962258
ENSG00000004455.13	29.60952031
ENSG00000004468.9	21.13306917
ENSG00000004478.6	3.296061259
ENSG00000004487.12	11.2879228
ENSG00000004534.11	33.13277467
ENSG00000004660.11	5.795422135
ENSG00000004700.12	5.160672533
ENSG00000004766.12	4.494598373
ENSG00000004777.15	3.226488194
ENSG00000004779.6	19.44276677
ENSG00000004799.7	0.125865558
ENSG00000004809.10	0.551728925
ENSG00000004864.10	6.140695
ENSG00000004866.15	1.241478854
ENSG00000004897.8	10.07131844
ENSG00000004961.11	1.893509394
ENSG00000004975.8	8.038709091
ENSG00000005007.9	11.92309334
ENSG00000005020.9	29.08932214
ENSG00000005022.5	95.90307577
ENSG00000005075.12	20.66734482
ENSG00000005100.9	1.976024306
ENSG00000005156.8	5.618919458
ENSG00000005175.6	9.09152449
ENSG00000005187.8	0.329709907
ENSG00000005189.16	2.214665452
ENSG00000005194.11	4.308690081
ENSG00000005206.13	7.83187257
ENSG00000005238.16	13.20656284
ENSG00000005243.6	0.002016487
ENSG00000005302.14	9.867193613
ENSG00000005339.9	17.09859006
ENSG00000005379.12	2.125098684
ENSG00000005381.7	129.3636316
ENSG00000005436.10	1.067318791
ENSG00000005448.13	2.624003667
ENSG00000005483.16	26.48379788
ENSG00000005486.13	24.44298803
ENSG00000005700.11	7.462975503
ENSG00000005801.13	9.64324279
ENSG00000005810.14	27.3346184
ENSG00000005812.7	10.14136303
ENSG00000005844.14	12.29047539
ENSG00000005882.8	0.013119259
ENSG00000005884.14	0.219423544
ENSG00000005889.12	4.483593059
ENSG00000005893.12	26.33677026
ENSG00000005961.14	1.125275982
ENSG00000006007.8	15.3945672
ENSG00000006015.14	3.68868379
ENSG00000006016.7	0.139515835
ENSG00000006025.8	5.915928659
ENSG00000006062.10	2.450968188
ENSG00000006118.11	0.029327162
ENSG00000006125.13	12.28137046
ENSG00000006194.7	7.918320235
ENSG00000006210.6	0.06407075
ENSG00000006282.16	4.155878403
ENSG00000006327.10	5.63753399
