gene_id	Neu96h_R3
ENSG00000000419.9	19.81147496
ENSG00000000457.10	1.828250274
ENSG00000000460.13	0.470247187
ENSG00000000938.9	100.1864513
ENSG00000001036.10	18.17681725
ENSG00000001084.7	19.41384035
ENSG00000001167.11	6.148435257
ENSG00000001460.14	0.566420801
ENSG00000001461.13	4.830055613
ENSG00000001497.13	7.52729006
ENSG00000001617.8	0.155950692
ENSG00000001629.6	8.647177082
ENSG00000001630.12	2.079823816
ENSG00000001631.11	21.83745581
ENSG00000002016.13	9.756453611
ENSG00000002330.10	7.996458415
ENSG00000002549.9	5.665852235
ENSG00000002726.16	1.238003464
ENSG00000002822.12	12.13207478
ENSG00000002834.14	43.7725012
ENSG00000002919.11	13.95480574
ENSG00000002933.4	0.17562554
ENSG00000003056.4	135.5555374
ENSG00000003096.10	0.051272944
ENSG00000003147.14	2.826462819
ENSG00000003249.10	0.986489786
ENSG00000003393.11	6.736647603
ENSG00000003400.11	4.279179588
ENSG00000003402.16	34.32293844
ENSG00000003436.11	0.017521631
ENSG00000003509.12	6.312727728
ENSG00000003756.13	86.72935681
ENSG00000003987.10	0.01435137
ENSG00000003989.13	0.016589042
ENSG00000004059.7	37.87003824
ENSG00000004142.8	16.27667543
ENSG00000004399.9	9.073456115
ENSG00000004455.13	28.60201324
ENSG00000004468.9	20.75666907
ENSG00000004478.6	3.534232901
ENSG00000004487.12	11.76660534
ENSG00000004534.11	36.28588232
ENSG00000004660.11	6.33689682
ENSG00000004700.12	5.207403927
ENSG00000004766.12	3.34955451
ENSG00000004777.15	5.289203191
ENSG00000004779.6	17.98944502
ENSG00000004799.7	0.006946336
ENSG00000004809.10	0.219213538
ENSG00000004864.10	4.789783992
ENSG00000004866.15	0.475556895
ENSG00000004897.8	10.3267673
ENSG00000004961.11	2.244132974
ENSG00000004975.8	9.427918431
ENSG00000005007.9	10.74605765
ENSG00000005020.9	29.7620861
ENSG00000005022.5	92.27518517
ENSG00000005075.12	16.30278361
ENSG00000005100.9	2.192175225
ENSG00000005156.8	7.456811021
ENSG00000005175.6	9.523742378
ENSG00000005187.8	0.700645294
ENSG00000005189.16	3.01871817
ENSG00000005194.11	4.701756829
ENSG00000005206.13	7.202167969
ENSG00000005238.16	11.05060185
ENSG00000005243.6	0.004402268
ENSG00000005302.14	9.378980767
ENSG00000005339.9	16.68695578
ENSG00000005379.12	1.938205232
ENSG00000005381.7	131.0615394
ENSG00000005436.10	1.033620145
ENSG00000005448.13	3.844328181
ENSG00000005483.16	27.73472771
ENSG00000005486.13	18.70290229
ENSG00000005700.11	7.194120101
ENSG00000005801.13	10.20372465
ENSG00000005810.14	29.12284118
ENSG00000005812.7	9.423954426
ENSG00000005844.14	11.66247054
ENSG00000005882.8	0.019580218
ENSG00000005884.14	0.46985104
ENSG00000005889.12	3.893300467
ENSG00000005893.12	27.38731267
ENSG00000005961.14	0.430428859
ENSG00000006007.8	18.26440574
ENSG00000006015.14	4.925741564
ENSG00000006016.7	0.313838345
ENSG00000006025.8	8.091327229
ENSG00000006062.10	2.807721925
ENSG00000006118.11	0.146647613
ENSG00000006125.13	10.8990447
ENSG00000006194.7	7.189846902
ENSG00000006210.6	0.0437818
ENSG00000006282.16	3.630019904
ENSG00000006327.10	5.807323256
ENSG00000006451.4	8.31801025
ENSG00000006453.10	0.016926384
ENSG00000006459.7	2.155140492
ENSG00000006468.10	0.42445729
ENSG00000006530.12	1.771972653
ENSG00000006534.12	9.804804891
ENSG00000006576.13	3.61470966
ENSG00000006607.10	2.59838096
ENSG00000006625.14	7.266880095
ENSG00000006634.4	2.362609377
ENSG00000006652.10	14.628773
ENSG00000006695.7	0.637296495
ENSG00000006704.7	0.85279433
ENSG00000006712.11	14.81722658
ENSG00000006715.12	24.13179495
ENSG00000006740.13	1.497250829
ENSG00000006744.15	12.96812979
ENSG00000006747.11	0.005547722
ENSG00000006756.12	4.452602926
ENSG00000006757.8	6.110501651
ENSG00000006831.9	12.73150434
ENSG00000006837.8	0.064411373
ENSG00000007047.11	3.968845897
ENSG00000007080.7	17.15696959
