gene_id	Mon96h_R1
ENSG00000000419.9	25.98287531
ENSG00000000457.10	2.445894984
ENSG00000000460.13	1.045241623
ENSG00000000938.9	42.82726742
ENSG00000001036.10	23.08890849
ENSG00000001084.7	16.02891215
ENSG00000001167.11	4.147593743
ENSG00000001460.14	0.690180192
ENSG00000001461.13	3.130385212
ENSG00000001497.13	10.6441827
ENSG00000001617.8	0.499151548
ENSG00000001629.6	5.769376146
ENSG00000001630.12	4.267480939
ENSG00000001631.11	17.47093948
ENSG00000002016.13	7.113448907
ENSG00000002330.10	4.338046587
ENSG00000002549.9	7.892102426
ENSG00000002726.16	5.992147592
ENSG00000002822.12	16.8492415
ENSG00000002834.14	55.90499015
ENSG00000002919.11	9.570885829
ENSG00000002933.4	0.063734032
ENSG00000003056.4	141.7503901
ENSG00000003096.10	1.069830926
ENSG00000003147.14	2.280129455
ENSG00000003249.10	0.012276752
ENSG00000003393.11	16.45254042
ENSG00000003400.11	1.688526844
ENSG00000003402.16	38.67903503
ENSG00000003436.11	0.475702092
ENSG00000003509.12	6.061515387
ENSG00000003756.13	57.30912746
ENSG00000003987.10	0.742108337
ENSG00000003989.13	1.060085369
ENSG00000004059.7	34.59576628
ENSG00000004142.8	20.3976546
ENSG00000004399.9	52.08823349
ENSG00000004455.13	46.09204527
ENSG00000004468.9	2.963867315
ENSG00000004478.6	10.66739452
ENSG00000004487.12	12.29306232
ENSG00000004534.11	23.33903231
ENSG00000004660.11	1.15021304
ENSG00000004700.12	7.700075224
ENSG00000004766.12	4.002792412
ENSG00000004777.15	2.669091653
ENSG00000004779.6	40.80542432
ENSG00000004799.7	0.07247673
ENSG00000004809.10	4.143264733
ENSG00000004864.10	8.528592395
ENSG00000004866.15	2.517462663
ENSG00000004897.8	13.58782542
ENSG00000004961.11	2.035175705
ENSG00000004975.8	5.967854271
ENSG00000005007.9	13.64418784
ENSG00000005020.9	20.37789246
ENSG00000005022.5	113.9880181
ENSG00000005075.12	18.76997089
ENSG00000005100.9	3.636003068
ENSG00000005156.8	5.756411281
ENSG00000005175.6	7.245115473
ENSG00000005187.8	1.384141791
ENSG00000005189.16	2.158594723
ENSG00000005194.11	8.448296539
ENSG00000005206.13	5.612031674
ENSG00000005238.16	9.170987543
ENSG00000005243.6	0.714623293
ENSG00000005302.14	7.220756791
ENSG00000005339.9	16.27301815
ENSG00000005379.12	1.958918649
ENSG00000005381.7	552.1495042
ENSG00000005436.10	2.720255471
ENSG00000005448.13	0.917844031
ENSG00000005483.16	15.76549265
ENSG00000005486.13	19.55826766
ENSG00000005700.11	7.512315503
ENSG00000005801.13	11.03797514
ENSG00000005810.14	25.68003958
ENSG00000005812.7	11.9752775
ENSG00000005844.14	10.63368522
ENSG00000005882.8	0.25445431
ENSG00000005884.14	0.443474163
ENSG00000005889.12	5.265851486
ENSG00000005893.12	36.74941812
ENSG00000005961.14	1.030893735
ENSG00000006007.8	15.68818275
ENSG00000006015.14	4.876251544
ENSG00000006016.7	0.008318876
ENSG00000006025.8	3.748180033
ENSG00000006062.10	1.875869175
ENSG00000006118.11	0.067994793
ENSG00000006125.13	9.565169272
ENSG00000006194.7	7.494511594
ENSG00000006210.6	0.05481655
ENSG00000006282.16	2.822693954
ENSG00000006327.10	5.612970688
ENSG00000006451.4	13.2497795
ENSG00000006453.10	0.005226058
ENSG00000006459.7	1.888975931
ENSG00000006468.10	0.241824302
ENSG00000006530.12	1.774217954
ENSG00000006534.12	6.487768208
ENSG00000006576.13	1.521142505
ENSG00000006607.10	1.574609923
ENSG00000006625.14	15.80602179
ENSG00000006634.4	6.766986212
ENSG00000006652.10	17.31096197
ENSG00000006695.7	1.083544839
ENSG00000006704.7	2.617389374
ENSG00000006712.11	11.61873147
ENSG00000006715.12	19.37895666
ENSG00000006740.13	0.116617087
ENSG00000006744.15	11.64215442
ENSG00000006747.11	0.006130872
ENSG00000006756.12	3.941138893
ENSG00000006757.8	5.406754618
ENSG00000006831.9	13.5677012
ENSG00000006837.8	0.822790231
ENSG00000007047.11	3.48851817
ENSG00000007080.7	19.38388814
ENSG00000007168.9	16.90784862
ENSG00000007202.11	44.08196784
ENSG00000007237.15	24.46796565
ENSG00000007255.7	7.192555052
ENSG00000007264.10	5.666118652
ENSG00000007341.15	5.490872097
ENSG00000007350.13	0.053641824
ENSG00000007372.17	0.012877697
ENSG00000007376.4	7.494063938
ENSG00000007384.12	0.985320439
ENSG00000007392.13	26.65150075
ENSG00000007516.10	0.056437365
ENSG00000007520.3	6.815246269
ENSG00000007541.11	4.213647577
ENSG00000007545.12	4.370903128
ENSG00000007866.15	0.389920261
ENSG00000007923.12	17.53338569
ENSG00000007944.11	1.34373298
ENSG00000007968.6	0.993316499
ENSG00000008018.8	70.04014983
ENSG00000008056.9	0.343252738
ENSG00000008083.10	9.473069474
ENSG00000008128.19	9.520820331
ENSG00000008130.12	49.4132118
ENSG00000008256.12	1.973171787
ENSG00000008282.4	20.49522657
ENSG00000008283.12	0.150174122
ENSG00000008294.17	16.34430425
ENSG00000008300.11	0.798223556
ENSG00000008324.7	8.46865251
ENSG00000008382.12	0.828922373
ENSG00000008394.9	135.5169606
ENSG00000008405.8	2.172991116
ENSG00000008438.4	0.260991635
ENSG00000008441.13	0.561402968
ENSG00000008513.11	13.89150262
ENSG00000008516.13	5.212145111
ENSG00000008517.13	0.22912475
ENSG00000008710.14	9.219420824
ENSG00000008838.14	29.53606947
ENSG00000008853.13	1.507460987
ENSG00000008869.8	6.133052337
ENSG00000008952.13	69.40886185
ENSG00000008988.6	1912.198584
ENSG00000009307.12	118.858475
ENSG00000009335.14	11.05257202
ENSG00000009413.12	5.238561134
ENSG00000009780.12	2.185751607
ENSG00000009790.11	19.86687861
ENSG00000009830.8	3.466626206
ENSG00000009844.12	10.79147619
ENSG00000009950.12	0.971894188
ENSG00000009954.7	12.20368115
ENSG00000010017.10	17.22102119
ENSG00000010072.12	3.880670129
ENSG00000010165.16	7.499823997
ENSG00000010219.10	7.487813198
ENSG00000010244.13	54.03007882
ENSG00000010256.7	114.6355373
ENSG00000010270.10	7.928342621
ENSG00000010278.8	6.265306027
ENSG00000010292.9	24.43352933
ENSG00000010295.16	14.08926231
ENSG00000010310.5	1.750035076
ENSG00000010318.16	2.90262271
ENSG00000010319.3	0.377499414
ENSG00000010322.12	14.29449767
ENSG00000010361.10	6.197573434
ENSG00000010379.12	0.015548391
ENSG00000010404.14	9.653883366
ENSG00000010539.8	5.055817097
ENSG00000010610.6	41.37060542
ENSG00000010626.11	2.440034825
ENSG00000010671.12	29.26176336
ENSG00000010803.13	13.59043584
ENSG00000010810.14	4.198979254
ENSG00000010818.5	4.244765111
ENSG00000010932.12	0.193074605
ENSG00000011007.9	5.57681575
ENSG00000011009.7	7.947418917
ENSG00000011021.18	2.900347248
ENSG00000011028.10	5.752747624
ENSG00000011105.8	0.011105097
ENSG00000011132.8	4.700897793
ENSG00000011143.13	3.428037653
ENSG00000011198.4	3.270882346
ENSG00000011243.14	49.91871092
ENSG00000011258.12	4.847987583
ENSG00000011260.10	7.32383963
ENSG00000011275.15	9.736831406
ENSG00000011295.12	4.165707243
ENSG00000011304.13	49.37502622
ENSG00000011347.6	0.008023963
ENSG00000011376.6	2.255885069
ENSG00000011405.10	8.350821677
ENSG00000011422.8	131.3544377
ENSG00000011426.7	5.903654162
ENSG00000011451.14	5.301051102
ENSG00000011454.13	4.935086823
ENSG00000011465.13	0.014495754
ENSG00000011478.8	1.749378604
ENSG00000011485.11	21.0667613
ENSG00000011523.10	1.036862445
ENSG00000011566.11	4.69884062
ENSG00000011600.8	837.4460962
ENSG00000011638.7	2.039101825
ENSG00000012048.16	8.297236936
ENSG00000012061.12	47.15503008
ENSG00000012124.11	0.163276038
ENSG00000012174.8	1.642909922
ENSG00000012211.9	2.645255347
ENSG00000012223.9	0.020466682
ENSG00000012232.5	1.839996307
ENSG00000012660.10	35.48666233
ENSG00000012817.12	0.099487946
ENSG00000012822.12	26.93723497
ENSG00000012983.8	5.242632682
ENSG00000013275.4	14.83943195
ENSG00000013288.5	6.042254124
ENSG00000013306.12	28.95280179
ENSG00000013364.15	17.97607145
ENSG00000013374.12	9.211114274
ENSG00000013375.12	5.350614149
ENSG00000013441.12	38.83349116
ENSG00000013503.6	1.73697053
ENSG00000013523.6	2.28157567
ENSG00000013561.14	4.25553048
ENSG00000013563.10	8.004037586
ENSG00000013573.13	6.151507614
ENSG00000013583.5	11.53046646
ENSG00000013588.5	0.003392888
ENSG00000013619.10	0.010423157
ENSG00000013725.11	0.047660216
ENSG00000013810.15	25.56419393
ENSG00000014123.9	2.977221524
ENSG00000014138.5	6.095157873
ENSG00000014164.6	1.90432411
ENSG00000014216.12	40.02490186
ENSG00000014257.12	9.907197472
ENSG00000014641.14	31.44482102
ENSG00000014824.10	7.954641064
ENSG00000014914.16	1.210364981
ENSG00000014919.9	7.912932433
ENSG00000015133.15	21.87118022
ENSG00000015153.11	6.848740673
ENSG00000015171.15	2.619040257
ENSG00000015285.7	49.34241998
ENSG00000015475.15	29.57436684
ENSG00000015479.14	44.39591131
ENSG00000015532.6	2.062697283
ENSG00000015676.14	7.727346142
ENSG00000016864.13	12.41308645
ENSG00000017260.16	12.05157977
ENSG00000017483.11	27.15981072
ENSG00000017797.8	13.87237268
ENSG00000018189.9	1.205699578
ENSG00000018280.13	52.349132
ENSG00000018408.11	0.019875343
ENSG00000018510.9	4.960061748
ENSG00000018610.10	11.66834213
ENSG00000018625.11	0.071661629
ENSG00000018699.8	2.074628458
ENSG00000018869.13	1.890782103
ENSG00000019144.13	0.34297737
ENSG00000019186.6	3.481758198
ENSG00000019505.4	0.046491331
ENSG00000019582.11	16.64770816
ENSG00000019991.12	3.74365715
ENSG00000019995.6	5.00186073
ENSG00000020129.12	4.364371759
ENSG00000020256.16	1.448264352
ENSG00000020426.7	6.084524725
ENSG00000020633.15	27.99631212
ENSG00000020922.9	4.642599212
ENSG00000021355.9	138.0713408
ENSG00000021574.8	2.897657029
ENSG00000021762.16	19.39995797
ENSG00000021776.7	11.9972528
ENSG00000021826.11	0.955421623
ENSG00000022267.13	0.70374785
ENSG00000022277.9	23.83070989
ENSG00000022567.6	8.622846244
ENSG00000022840.12	54.41692387
ENSG00000022976.12	2.39321283
ENSG00000023041.8	18.38523233
ENSG00000023171.11	1.714558876
ENSG00000023228.10	13.05616021
ENSG00000023287.9	5.394053729
ENSG00000023318.7	12.98959873
ENSG00000023330.11	47.55282855
ENSG00000023445.10	8.15300514
ENSG00000023516.8	5.480249693
ENSG00000023572.5	4.313636168
ENSG00000023697.9	4.369708279
ENSG00000023734.7	17.89613181
ENSG00000023892.10	11.51462063
ENSG00000023902.10	20.77143713
ENSG00000023909.6	3.735283527
ENSG00000024048.7	3.40829684
ENSG00000024526.13	1.033997076
ENSG00000024862.13	4.630947447
ENSG00000025039.11	12.99886151
ENSG00000025156.9	1.392145212
ENSG00000025293.12	14.04069429
ENSG00000025423.8	0.064054173
ENSG00000025434.15	1.712168116
ENSG00000025708.9	22.4426561
ENSG00000025770.15	5.452427814
ENSG00000025772.7	4.828847217
ENSG00000025796.10	41.5855659
ENSG00000025800.10	3.531093203
ENSG00000026025.10	69.57242238
ENSG00000026036.17	1.295586557
ENSG00000026103.16	1.293617489
ENSG00000026297.12	50.35934457
ENSG00000026508.13	145.5628073
ENSG00000026652.10	0.039401972
ENSG00000026751.13	4.015912328
ENSG00000026950.13	2.913195983
ENSG00000027001.7	1.043080168
ENSG00000027075.10	0.187552932
ENSG00000027697.9	56.00651879
ENSG00000027847.10	3.848111241
ENSG00000027869.8	0.623642231
ENSG00000028116.13	3.54763828
ENSG00000028137.13	55.20498223
ENSG00000028203.14	6.052919755
ENSG00000028277.17	6.199006529
ENSG00000028310.14	12.01809639
ENSG00000028528.11	25.52264091
ENSG00000028839.6	6.095479245
ENSG00000029153.11	1.119689774
ENSG00000029363.12	16.66723246
ENSG00000029364.8	7.102099517
ENSG00000029639.7	5.849535052
ENSG00000029725.13	6.661553161
ENSG00000029993.11	7.587577031
ENSG00000030066.10	12.65540677
ENSG00000030110.9	3.677809435
ENSG00000030582.13	202.3501607
ENSG00000031003.7	6.257941289
ENSG00000031081.7	0.184663557
ENSG00000031691.6	1.490505081
ENSG00000031698.9	15.12862584
ENSG00000031823.11	17.82411856
ENSG00000032219.15	9.113314181
ENSG00000032389.9	8.62839249
ENSG00000032444.12	30.00166729
ENSG00000032742.14	0.863311826
ENSG00000033011.8	4.720072166
ENSG00000033030.10	10.39586349
ENSG00000033050.4	10.72987865
ENSG00000033100.11	8.106214295
ENSG00000033170.13	0.657791194
ENSG00000033178.9	17.15087509
ENSG00000033327.9	9.98074566
ENSG00000033627.11	27.38395334
ENSG00000033800.10	24.76971934
ENSG00000033867.13	4.841177676
ENSG00000034152.15	7.013439827
ENSG00000034510.5	201.4840042
ENSG00000034533.8	1.503167122
