gene_id	Mac96h_R2
ENSG00000000419.9	25.04878288
ENSG00000000457.10	1.773004714
ENSG00000000460.13	0.722587498
ENSG00000000938.9	25.94975946
ENSG00000001036.10	20.90357905
ENSG00000001084.7	137.8825867
ENSG00000001167.11	4.070598134
ENSG00000001460.14	0.1862673
ENSG00000001461.13	4.082519326
ENSG00000001497.13	6.161193651
ENSG00000001617.8	0.019004208
ENSG00000001629.6	12.08951149
ENSG00000001630.12	5.568153853
ENSG00000001631.11	14.17598788
ENSG00000002016.13	3.543239721
ENSG00000002330.10	4.349533423
ENSG00000002549.9	11.38955486
ENSG00000002726.16	2.405013516
ENSG00000002822.12	6.439242454
ENSG00000002834.14	82.35542112
ENSG00000002919.11	3.68373061
ENSG00000002933.4	0.008922793
ENSG00000003056.4	140.927294
ENSG00000003096.10	0.07159482
ENSG00000003147.14	5.952993705
ENSG00000003249.10	0.107503401
ENSG00000003393.11	3.884686929
ENSG00000003400.11	2.280170915
ENSG00000003402.16	9.695076815
ENSG00000003436.11	0.063700914
ENSG00000003509.12	18.74063804
ENSG00000003756.13	44.05340206
ENSG00000003987.10	0.008715807
ENSG00000003989.13	1.223749607
ENSG00000004059.7	11.76864945
ENSG00000004142.8	8.250569736
ENSG00000004399.9	43.3578143
ENSG00000004455.13	16.74913604
ENSG00000004468.9	1.460290967
ENSG00000004478.6	5.324321713
ENSG00000004487.12	5.017538637
ENSG00000004534.11	11.31459601
ENSG00000004660.11	1.465989397
ENSG00000004700.12	3.600742157
ENSG00000004766.12	0.749080103
ENSG00000004777.15	0.077898778
ENSG00000004779.6	13.10098787
ENSG00000004799.7	0.017539414
ENSG00000004809.10	0.718216252
ENSG00000004864.10	2.105464271
ENSG00000004866.15	5.624450143
ENSG00000004897.8	9.404588123
ENSG00000004961.11	2.970461027
ENSG00000004975.8	5.55294004
ENSG00000005007.9	6.300933742
ENSG00000005020.9	32.3180138
ENSG00000005022.5	48.41135595
ENSG00000005075.12	6.614101088
ENSG00000005100.9	2.438072928
ENSG00000005156.8	4.753063407
ENSG00000005175.6	16.27327867
ENSG00000005187.8	0.224188898
ENSG00000005189.16	0.158816878
ENSG00000005194.11	3.310009983
ENSG00000005206.13	2.434018765
ENSG00000005238.16	8.845887315
ENSG00000005243.6	0.0257173
ENSG00000005302.14	18.84217056
ENSG00000005339.9	16.40432021
ENSG00000005379.12	1.970834347
ENSG00000005381.7	28.29581095
ENSG00000005436.10	0.371872247
ENSG00000005448.13	2.115179786
ENSG00000005483.16	23.44891986
ENSG00000005486.13	11.92760635
ENSG00000005700.11	20.76982022
ENSG00000005801.13	7.031530232
ENSG00000005810.14	20.47894773
ENSG00000005812.7	7.217369311
ENSG00000005844.14	45.53290552
ENSG00000005882.8	4.655741236
